label,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41
=,0.0,0.0,0.021624829716899874,-0.26015415348675114,0.15047670616848052,-0.5345577727867519,0.2951314695070965,-0.7299941983743511,0.43853871423982804,-0.7749122784956481,0.19140115380790243,-0.647443770497578,0.5570322539049556,-0.6816015220216352,0.7577425128413541,-0.6776237238330766,0.9127465423281989,-0.6680993789260604,0.21067498420306408,-0.5040857414050001,0.618459594680366,-0.5414904668247655,0.841260475462058,-0.5404955279175675,1.0,-0.5549025676696046,0.25350118989208975,-0.3332774093823798,0.6045084287769685,-0.34946949481010503,0.5236581775600502,-0.29407603346268546,0.40410241197970204,-0.27628681662167714,0.309830482442517,-0.16209702389825673,0.5849314398256613,-0.20306289237118866,0.5118164331424447,-0.171771392617446,0.40034545499461716,-0.1621298809307457
=,-0.0,0.0,-0.021624829716899874,-0.26015415348675114,-0.15047670616848052,-0.5345577727867519,-0.2951314695070965,-0.7299941983743511,-0.43853871423982804,-0.7749122784956481,-0.19140115380790243,-0.647443770497578,-0.5570322539049556,-0.6816015220216352,-0.7577425128413541,-0.6776237238330766,-0.9127465423281989,-0.6680993789260604,-0.21067498420306408,-0.5040857414050001,-0.618459594680366,-0.5414904668247655,-0.841260475462058,-0.5404955279175675,-1.0,-0.5549025676696046,-0.25350118989208975,-0.3332774093823798,-0.6045084287769685,-0.34946949481010503,-0.5236581775600502,-0.29407603346268546,-0.40410241197970204,-0.27628681662167714,-0.309830482442517,-0.16209702389825673,-0.5849314398256613,-0.20306289237118866,-0.5118164331424447,-0.171771392617446,-0.40034545499461716,-0.1621298809307457
=,0.0,0.0,0.023844724533415476,-0.2600224256130893,0.14455901567537663,-0.5323758136261142,0.28686049015495463,-0.7265264280586842,0.43947575165847413,-0.7628997171952293,0.19231768034963423,-0.6321277594076627,0.5558057058362971,-0.6725810091783534,0.7538459727992933,-0.6729191490069889,0.9066576701464251,-0.6672128304985413,0.2101676822075406,-0.4871135414408386,0.6186267381510466,-0.5284860914622801,0.843383185079601,-0.5251264187991818,1.0,-0.5358417468696279,0.2536184064702736,-0.31679342891812584,0.6038279677760612,-0.33928627306272613,0.5287375289939366,-0.28448116012878455,0.4089009756624015,-0.2642490342042172,0.311194371970332,-0.1475538876187997,0.5870856593539083,-0.1920979608352642,0.5186445146896592,-0.1613329463688802,0.40765551252916954,-0.14879224814442854
=,-0.0,0.0,-0.023844724533415476,-0.2600224256130893,-0.14455901567537663,-0.5323758136261142,-0.28686049015495463,-0.7265264280586842,-0.43947575165847413,-0.7628997171952293,-0.19231768034963423,-0.6321277594076627,-0.5558057058362971,-0.6725810091783534,-0.7538459727992933,-0.6729191490069889,-0.9066576701464251,-0.6672128304985413,-0.2101676822075406,-0.4871135414408386,-0.6186267381510466,-0.5284860914622801,-0.843383185079601,-0.5251264187991818,-1.0,-0.5358417468696279,-0.2536184064702736,-0.31679342891812584,-0.6038279677760612,-0.33928627306272613,-0.5287375289939366,-0.28448116012878455,-0.4089009756624015,-0.2642490342042172,-0.311194371970332,-0.1475538876187997,-0.5870856593539083,-0.1920979608352642,-0.5186445146896592,-0.1613329463688802,-0.40765551252916954,-0.14879224814442854
=,0.0,0.0,0.014980532399962287,-0.2623021092552013,0.1332668271838954,-0.535416556615987,0.2748268468383472,-0.7258895825413936,0.4268377630634223,-0.7716311059180417,0.19199048907468308,-0.6359100711762664,0.5525592409295195,-0.6796158564760701,0.7509996090197506,-0.6811078101067247,0.9051627785930504,-0.6766565081222613,0.2105513020359186,-0.48765338862645774,0.6161610902466506,-0.5330575061034685,0.8409823995571861,-0.5311590746458313,1.0,-0.5419474120009038,0.25725554156354824,-0.31287238827988584,0.6041870879084437,-0.34318142907742033,0.5272639150521343,-0.29061420388660236,0.4048994026246338,-0.2702019841940232,0.31581803562386396,-0.14212295586231458,0.5904690542895843,-0.19589887001204861,0.5191028226426255,-0.1675227268662003,0.40620311781086715,-0.1532265123767257
=,-0.0,0.0,-0.014980532399962287,-0.2623021092552013,-0.1332668271838954,-0.535416556615987,-0.2748268468383472,-0.7258895825413936,-0.4268377630634223,-0.7716311059180417,-0.19199048907468308,-0.6359100711762664,-0.5525592409295195,-0.6796158564760701,-0.7509996090197506,-0.6811078101067247,-0.9051627785930504,-0.6766565081222613,-0.2105513020359186,-0.48765338862645774,-0.6161610902466506,-0.5330575061034685,-0.8409823995571861,-0.5311590746458313,-1.0,-0.5419474120009038,-0.25725554156354824,-0.31287238827988584,-0.6041870879084437,-0.34318142907742033,-0.5272639150521343,-0.29061420388660236,-0.4048994026246338,-0.2702019841940232,-0.31581803562386396,-0.14212295586231458,-0.5904690542895843,-0.19589887001204861,-0.5191028226426255,-0.1675227268662003,-0.40620311781086715,-0.1532265123767257
=,0.0,0.0,0.008637025772768071,-0.2682843863970753,0.11786388083670268,-0.5444050557575487,0.26034402845606364,-0.7374397024119874,0.4191855876048065,-0.7739029319218198,0.1880370725068729,-0.6318083196914822,0.5516401720044393,-0.685854452070239,0.7502437563928152,-0.6913199091411811,0.9037571101878181,-0.6892217687795903,0.2092837676805977,-0.4797246071912488,0.6151740128731343,-0.5332663412572719,0.8426065408588853,-0.5338572997462137,1.0,-0.5421628815001676,0.25880929835286054,-0.30415749645036855,0.6020189636705262,-0.34741702826049914,0.5266149118851666,-0.29812387460409034,0.4017804197665127,-0.2754961495754251,0.31971864586602794,-0.13434488944314749,0.58979733801588,-0.19678246455839732,0.5172205457500247,-0.1696259222976287,0.4027222685981845,-0.1528164674652251
=,-0.0,0.0,-0.008637025772768071,-0.2682843863970753,-0.11786388083670268,-0.5444050557575487,-0.26034402845606364,-0.7374397024119874,-0.4191855876048065,-0.7739029319218198,-0.1880370725068729,-0.6318083196914822,-0.5516401720044393,-0.685854452070239,-0.7502437563928152,-0.6913199091411811,-0.9037571101878181,-0.6892217687795903,-0.2092837676805977,-0.4797246071912488,-0.6151740128731343,-0.5332663412572719,-0.8426065408588853,-0.5338572997462137,-1.0,-0.5421628815001676,-0.25880929835286054,-0.30415749645036855,-0.6020189636705262,-0.34741702826049914,-0.5266149118851666,-0.29812387460409034,-0.4017804197665127,-0.2754961495754251,-0.31971864586602794,-0.13434488944314749,-0.58979733801588,-0.19678246455839732,-0.5172205457500247,-0.1696259222976287,-0.4027222685981845,-0.1528164674652251
=,0.0,0.0,0.013370507953893067,-0.27227412855505234,0.1266570922925676,-0.5431370181612686,0.2702034383903743,-0.7323294283699642,0.4388246176712212,-0.7661093053412186,0.20598974350511967,-0.6250982873864114,0.5663674697150047,-0.6737220351720662,0.7608510899630769,-0.6798343069994018,0.9110759299023525,-0.6779312075266863,0.22850165332546707,-0.4722883023057704,0.6284350122566023,-0.5160055090944059,0.8467403792416935,-0.5204929910265355,1.0,-0.5369426540220817,0.2763932264378533,-0.296149679037001,0.6145146106158065,-0.3415023532681611,0.5318838453068492,-0.29934476173525504,0.40699734516479535,-0.27931812038801135,0.33358390324381026,-0.12472761962464902,0.5984913561657718,-0.18819274217468168,0.5194297343848302,-0.1673808157564683,0.40420253182153937,-0.15214159835239205
=,-0.0,0.0,-0.013370507953893067,-0.27227412855505234,-0.1266570922925676,-0.5431370181612686,-0.2702034383903743,-0.7323294283699642,-0.4388246176712212,-0.7661093053412186,-0.20598974350511967,-0.6250982873864114,-0.5663674697150047,-0.6737220351720662,-0.7608510899630769,-0.6798343069994018,-0.9110759299023525,-0.6779312075266863,-0.22850165332546707,-0.4722883023057704,-0.6284350122566023,-0.5160055090944059,-0.8467403792416935,-0.5204929910265355,-1.0,-0.5369426540220817,-0.2763932264378533,-0.296149679037001,-0.6145146106158065,-0.3415023532681611,-0.5318838453068492,-0.29934476173525504,-0.40699734516479535,-0.27931812038801135,-0.33358390324381026,-0.12472761962464902,-0.5984913561657718,-0.18819274217468168,-0.5194297343848302,-0.1673808157564683,-0.40420253182153937,-0.15214159835239205
